Ticket Number,Date,Application,Subject,Description,Steps Taken,Proposed Fix,ErrorNo
TK0749,3/3/2020,SP_QTY,Error when trying to post Goods Receipt,Error when trying to post Goods Receipt,Verified the system settings,System settings verified and corrected,
TK0750,4/3/2020,SP_QTY,Error in creating Quality Inspection lots,Error in creating Quality Inspection lots,Verified the parameters set up in the system,Set up parameters verified and corrected,
TK0751,5/3/2020,SP_QTY,Error when trying to post Goods Issue,Error when trying to post Goods Issue,Verified the user settings,User settings verified and corrected,
TK0752,6/3/2020,SP_QTY,Quality Notification not visible in Quality Management system,Quality Notification not visible in Quality Management system,Checked the quality notification settings,Quality notification settings verified and corrected,
TK0753,7/3/2020,SP_QTY,Error when trying to post a Quality Certificate,Error when trying to post a Quality Certificate,Checked the Quality Certificate settings,Quality Certificate settings verified and corrected,
TK0754,8/3/2020,SP_QTY,Error when trying to post a Quality Notification,Error when trying to post a Quality Notification,Checked the Quality Notification settings,Quality Notification settings verified and corrected,
TK0755,9/3/2020,SP_QTY,Error in creating Quality Notifications,Error in creating Quality Notifications,Checked the system parameters,System parameters verified and corrected,
TK0756,10/3/2020,SP_QTY,Error in creating Quality Certificates,Error in creating Quality Certificates,Verified the user settings,User settings verified and corrected,
TK0757,11/3/2020,SP_QTY,Error when trying to post a Quality Certificate,Error when trying to post a Quality Certificate,Checked the Quality Certificate settings,Quality Certificate settings verified and corrected,
TK0758,12/3/2020,SP_QTY,Error when trying to post a Quality Notification,Error when trying to post a Quality Notification,Checked the Quality Notification settings,Quality Notification settings verified and corrected,
TK0759,13/03/20,SP_QTY,Error when trying to post Goods Receipt,Error when trying to post Goods Receipt,Verified the system settings,System settings verified and corrected,
TK0760,14/03/20,SP_QTY,Error in creating Quality Inspection lots,Error in creating Quality Inspection lots,Verified the parameters set up in the system,Set up parameters verified and corrected,
TK0761,15/03/20,SP_QTY,Error when trying to post Goods Issue,Error when trying to post Goods Issue,Verified the user settings,User settings verified and corrected,
TK0762,16/03/20,SP_QTY,Quality Notification not visible in Quality Management system,Quality Notification not visible in Quality Management system,Checked the quality notification settings,Quality notification settings verified and corrected,
TK0763,17/03/20,SP_QTY,Error when trying to post a Quality Certificate,Error when trying to post a Quality Certificate,Checked the Quality Certificate settings,Quality Certificate settings verified and corrected,
TK0764,18/03/20,SP_QTY,Error when trying to post a Quality Notification,Error when trying to post a Quality Notification,Checked the Quality Notification settings,Quality Notification settings verified and corrected,
TK0765,19/03/20,SP_QTY,Error in creating Quality Notifications,Error in creating Quality Notifications,Checked the system parameters,System parameters verified and corrected,
TK0766,20/03/20,SP_QTY,Error in creating Quality Certificates,Error in creating Quality Certificates,Verified the user settings,User settings verified and corrected,
TK0767,21/03/20,SP_QTY,Error when trying to post a Quality Certificate,Error when trying to post a Quality Certificate,Checked the Quality Certificate settings,Quality Certificate settings verified and corrected,
TK0768,22/03/20,SP_QTY,Error when trying to post a Quality Notification,Error when trying to post a Quality Notification,Checked the Quality Notification settings,Quality Notification settings verified and corrected,
TK0769,23/03/20,SP_QTY,Error when trying to post Goods Receipt,Error when trying to post Goods Receipt,Verified the system settings,System settings verified and corrected,
TK0770,24/03/20,SP_QTY,Error in creating Quality Inspection lots,Error in creating Quality Inspection lots,Verified the parameters set up in the system,Set up parameters verified and corrected,
TK0771,25/03/20,SP_QTY,Error when trying to post Goods Issue,Error when trying to post Goods Issue,Verified the user settings,User settings verified and corrected,
TK0772,26/03/20,SP_QTY,Quality Notification not visible in Quality Management system,Quality Notification not visible in Quality Management system,Checked the quality notification settings,Quality notification settings verified and corrected,
TK0773,27/03/20,SP_QTY,Error when trying to post a Quality Certificate,Error when trying to post a Quality Certificate,Checked the Quality Certificate settings,Quality Certificate settings verified and corrected,
TK0774,28/03/20,SP_QTY,Error when trying to post a Quality Notification,Error when trying to post a Quality Notification,Checked the Quality Notification settings,Quality Notification settings verified and corrected,
TK0775,29/03/20,SP_QTY,Error in creating Quality Notifications,Error in creating Quality Notifications,Checked the system parameters,System parameters verified and corrected,
TK0776,30/03/20,SP_QTY,Error in creating Quality Certificates,Error in creating Quality Certificates,Verified the user settings,User settings verified and corrected,
TK0777,31/03/20,SP_QTY,Error when trying to post a Quality Certificate,Error when trying to post a Quality Certificate,Checked the Quality Certificate settings,Quality Certificate settings verified and corrected,
TK0778,1/4/2020,SP_QTY,Error when trying to post a Quality Notification,Error when trying to post a Quality Notification,Checked the Quality Notification settings,Quality Notification settings verified and corrected,ERRQTY0457
TK0779,2/4/2020,SP_QTY,Error when trying to post Goods Receipt,Error when trying to post Goods Receipt,Verified the system settings,System settings verified and corrected,
TK0780,3/4/2020,SP_QTY,Error in creating Quality Inspection lots,Error in creating Quality Inspection lots,Verified the parameters set up in the system,Set up parameters verified and corrected,
TK0781,4/4/2020,SP_QTY,Error when trying to post Goods Issue,Error when trying to post Goods Issue,Verified the user settings,User settings verified and corrected,
TK0782,5/4/2020,SP_QTY,Quality Notification not visible in Quality Management system,Quality Notification not visible in Quality Management system,Checked the quality notification settings,Quality notification settings verified and corrected,
TK0783,6/4/2020,SP_QTY,Error when trying to post a Quality Certificate,Error when trying to post a Quality Certificate,Checked the Quality Certificate settings,Quality Certificate settings verified and corrected,
TK0784,7/4/2020,SP_QTY,Error when trying to post a Quality Notification,Error when trying to post a Quality Notification,Checked the Quality Notification settings,Quality Notification settings verified and corrected,
TK0785,8/4/2020,SP_QTY,Error in creating Quality Notifications,Error in creating Quality Notifications,Checked the system parameters,System parameters verified and corrected,
TK0786,2/4/2020,SP_LG,Error during picking process,Error during picking process,Checked goods movements,Error was caused by incorrect input of the bin number. The correct bin number was entered and the error was resolved.,
TK0787,2/5/2020,SP_LG,Error during putaway process,Error during putaway process,Checked settings of the putaway strategy,Error was caused by incorrect settings of the putaway strategy. The settings were corrected and the error was fixed.,
TK0788,2/6/2020,SP_LG,Error during stock transfer,Error during stock transfer,Checked master data settings,Error was caused by incorrect settings of the material master data. The settings were corrected and the error was fixed.,
TK0789,2/7/2020,SP_LG,Error during goods receipt process,Error during goods receipt process,Checked batch determination settings,Error was caused by incorrect settings of the batch determination. The settings were corrected and the error was fixed.,
TK0790,2/8/2020,SP_LG,Error during stock count,Error during stock count,Checked cycle count settings,Error was caused by incorrect settings of the cycle count. The settings were corrected and the error was fixed.,
TK0791,2/9/2020,SP_LG,Error during inventory posting,Error during inventory posting,Checked user authorizations,Error was caused by incorrect user authorizations. The authorizations were corrected and the error was fixed.,ERRLGS0765
TK0792,2/10/2020,SP_LG,Error during warehouse task,Error during warehouse task,Checked warehouse task settings,Error was caused by incorrect settings of the warehouse task. The settings were corrected and the error was fixed.,
TK0793,2/11/2020,SP_LG,Error during goods issue process,Error during goods issue process,Checked delivery document settings,Error was caused by incorrect settings of the delivery document. The settings were corrected and the error was fixed.,
TK0794,2/12/2020,SP_LG,Error during stock transfer order,Error during stock transfer order,Checked stock transfer order settings,Error was caused by incorrect settings of the stock transfer order. The settings were corrected and the error was fixed.,
TK0795,2/13/2020,SP_LG,Error during goods movement,Error during goods movement,Checked material master data,Error was caused by incorrect settings of the material master data. The settings were corrected and the error was fixed.,
TK0796,4/2/2021,SP_HR,Error when trying to add new employee,Error when trying to add new employee,Reviewed error log,Resolved by updating the employee information in the system.,
TK0797,4/2/2021,SP_HR,Error when trying to edit employee details,Error when trying to edit employee details,Reviewed error log,Resolved by making changes to the employee's information in the system.,
TK0798,4/2/2021,SP_HR,Issue when trying to view employee details,Issue when trying to view employee details,Reviewed error log,Resolved by refreshing the page and re-entering the employee details.,
TK0799,4/2/2021,SP_HR,Error when trying to delete an employee,Error when trying to delete an employee,Reviewed error log,Resolved by removing the employee from the system.,
TK0800,4/2/2021,SP_HR,Error when trying to generate a report,Error when trying to generate a report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0801,4/2/2021,SP_HR,Issue when trying to search for an employee,Issue when trying to search for an employee,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0802,4/2/2021,SP_HR,Error when trying to add a new job role,Error when trying to add a new job role,Reviewed error log,Resolved by creating a new job role in the system.,
TK0803,4/2/2021,SP_HR,Error when trying to edit job role details,Error when trying to edit job role details,Reviewed error log,Resolved by making changes to the job role's information in the system.,
TK0804,4/2/2021,SP_HR,Issue when trying to view job role details,Issue when trying to view job role details,Reviewed error log,Resolved by refreshing the page and re-entering the job role details.,
TK0805,4/2/2021,SP_HR,Error when trying to delete a job role,Error when trying to delete a job role,Reviewed error log,Resolved by removing the job role from the system.,
TK0806,4/2/2021,SP_HR,Error when trying to generate a job role report,Error when trying to generate a job role report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0807,4/2/2021,SP_HR,Issue when trying to search for a job role,Issue when trying to search for a job role,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0808,4/2/2021,SP_HR,Error when trying to add a new salary scale,Error when trying to add a new salary scale,Reviewed error log,Resolved by creating a new salary scale in the system.,
TK0809,4/2/2021,SP_HR,Error when trying to edit salary scale details,Error when trying to edit salary scale details,Reviewed error log,Resolved by making changes to the salary scale's information in the system.,
TK0810,4/2/2021,SP_HR,Issue when trying to view salary scale details,Issue when trying to view salary scale details,Reviewed error log,Resolved by refreshing the page and re-entering the salary scale details.,
TK0811,4/2/2021,SP_HR,Error when trying to delete a salary scale,Error when trying to delete a salary scale,Reviewed error log,Resolved by removing the salary scale from the system.,
TK0812,4/2/2021,SP_HR,Error when trying to generate a salary scale report,Error when trying to generate a salary scale report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0813,4/2/2021,SP_HR,Issue when trying to search for a salary scale,Issue when trying to search for a salary scale,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0814,4/2/2021,SP_HR,Error when trying to add a new leave policy,Error when trying to add a new leave policy,Reviewed error log,Resolved by creating a new leave policy in the system.,ERRHRH0661
TK0815,4/2/2021,SP_HR,Error when trying to edit leave policy details,Error when trying to edit leave policy details,Reviewed error log,Resolved by making changes to the leave policy's information in the system.,
TK0816,4/2/2021,SP_HR,Issue when trying to view leave policy details,Issue when trying to view leave policy details,Reviewed error log,Resolved by refreshing the page and re-entering the leave policy details.,
TK0817,4/2/2021,SP_HR,Error when trying to delete a leave policy,Error when trying to delete a leave policy,Reviewed error log,Resolved by removing the leave policy from the system.,
TK0818,4/2/2021,SP_HR,Error when trying to generate a leave policy report,Error when trying to generate a leave policy report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0819,4/2/2021,SP_HR,Issue when trying to search for a leave policy,Issue when trying to search for a leave policy,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0820,4/2/2021,SP_HR,Error when trying to add a new benefit,Error when trying to add a new benefit,Reviewed error log,Resolved by creating a new benefit in the system.,
TK0821,4/2/2021,SP_HR,Error when trying to edit benefit details,Error when trying to edit benefit details,Reviewed error log,Resolved by making changes to the benefit's information in the system.,
TK0822,4/2/2021,SP_HR,Issue when trying to view benefit details,Issue when trying to view benefit details,Reviewed error log,Resolved by refreshing the page and re-entering the benefit details.,
TK0823,4/2/2021,SP_HR,Error when trying to delete a benefit,Error when trying to delete a benefit,Reviewed error log,Resolved by removing the benefit from the system.,
TK0824,4/2/2021,SP_HR,Error when trying to generate a benefit report,Error when trying to generate a benefit report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0825,4/2/2021,SP_HR,Issue when trying to search for a benefit,Issue when trying to search for a benefit,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0826,4/2/2021,SP_HR,Error when trying to add a new training program,Error when trying to add a new training program,Reviewed error log,Resolved by creating a new training program in the system.,
TK0827,4/2/2021,SP_HR,Error when trying to edit training program details,Error when trying to edit training program details,Reviewed error log,Resolved by making changes to the training program's information in the system.,
TK0828,4/2/2021,SP_HR,Issue when trying to view training program details,Issue when trying to view training program details,Reviewed error log,Resolved by refreshing the page and re-entering the training program details.,
TK0829,4/2/2021,SP_HR,Error when trying to delete a training program,Error when trying to delete a training program,Reviewed error log,Resolved by removing the training program from the system.,
TK0830,4/2/2021,SP_HR,Error when trying to generate a training program report,Error when trying to generate a training program report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0831,4/2/2021,SP_HR,Issue when trying to search for a training program,Issue when trying to search for a training program,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0832,4/2/2021,SP_HR,Error when trying to add a new performance review,Error when trying to add a new performance review,Reviewed error log,Resolved by creating a new performance review in the system.,
TK0833,4/2/2021,SP_HR,Error when trying to edit performance review details,Error when trying to edit performance review details,Reviewed error log,Resolved by making changes to the performance review's information in the system.,
TK0834,4/2/2021,SP_HR,Issue when trying to view performance review details,Issue when trying to view performance review details,Reviewed error log,Resolved by refreshing the page and re-entering the performance review details.,
TK0835,4/2/2021,SP_HR,Error when trying to delete a performance review,Error when trying to delete a performance review,Reviewed error log,Resolved by removing the performance review from the system.,
TK0836,4/2/2021,SP_HR,Error when trying to generate a performance review report,Error when trying to generate a performance review report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0837,4/2/2021,SP_HR,Issue when trying to search for a performance review,Issue when trying to search for a performance review,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0838,4/2/2021,SP_HR,Error when trying to add a new document,Error when trying to add a new document,Reviewed error log,Resolved by creating a new document in the system.,
TK0839,4/2/2021,SP_HR,Error when trying to edit document details,Error when trying to edit document details,Reviewed error log,Resolved by making changes to the document's information in the system.,
TK0840,4/2/2021,SP_HR,Issue when trying to view document details,Issue when trying to view document details,Reviewed error log,Resolved by refreshing the page and re-entering the document details.,
TK0841,4/2/2021,SP_HR,Error when trying to delete a document,Error when trying to delete a document,Reviewed error log,Resolved by removing the document from the system.,
TK0842,4/2/2021,SP_HR,Error when trying to generate a document report,Error when trying to generate a document report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0843,4/2/2021,SP_HR,Issue when trying to search for a document,Issue when trying to search for a document,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0844,4/2/2021,SP_HR,Error when trying to add a new time off policy,Error when trying to add a new time off policy,Reviewed error log,Resolved by creating a new time off policy in the system.,
TK0845,4/2/2021,SP_HR,Error when trying to edit time off policy details,Error when trying to edit time off policy details,Reviewed error log,Resolved by making changes to the time off policy's information in the system.,
TK0846,4/2/2021,SP_HR,Issue when trying to view time off policy details,Issue when trying to view time off policy details,Reviewed error log,Resolved by refreshing the page and re-entering the time off policy details.,
TK0847,4/2/2021,SP_HR,Error when trying to delete a time off policy,Error when trying to delete a time off policy,Reviewed error log,Resolved by removing the time off policy from the system.,
TK0848,4/2/2021,SP_HR,Error when trying to generate a time off policy report,Error when trying to generate a time off policy report,Reviewed error log,Resolved by making changes to the report settings in the system.,ERRHRH0457
TK0849,4/2/2021,SP_HR,Issue when trying to search for a time off policy,Issue when trying to search for a time off policy,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0850,4/2/2021,SP_HR,Error when trying to add a new health plan,Error when trying to add a new health plan,Reviewed error log,Resolved by creating a new health plan in the system.,
TK0851,4/2/2021,SP_HR,Error when trying to edit health plan details,Error when trying to edit health plan details,Reviewed error log,Resolved by making changes to the health plan's information in the system.,
TK0852,4/2/2021,SP_HR,Issue when trying to view health plan details,Issue when trying to view health plan details,Reviewed error log,Resolved by refreshing the page and re-entering the health plan details.,
TK0853,4/2/2021,SP_HR,Error when trying to delete a health plan,Error when trying to delete a health plan,Reviewed error log,Resolved by removing the health plan from the system.,
TK0854,4/2/2021,SP_HR,Error when trying to generate a health plan report,Error when trying to generate a health plan report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0855,4/2/2021,SP_HR,Issue when trying to search for a health plan,Issue when trying to search for a health plan,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0856,4/2/2021,SP_HR,Error when trying to add a new bonus plan,Error when trying to add a new bonus plan,Reviewed error log,Resolved by creating a new bonus plan in the system.,
TK0857,4/2/2021,SP_HR,Error when trying to edit bonus plan details,Error when trying to edit bonus plan details,Reviewed error log,Resolved by making changes to the bonus plan's information in the system.,
TK0858,4/2/2021,SP_HR,Issue when trying to view bonus plan details,Issue when trying to view bonus plan details,Reviewed error log,Resolved by refreshing the page and re-entering the bonus plan details.,
TK0859,4/2/2021,SP_HR,Error when trying to delete a bonus plan,Error when trying to delete a bonus plan,Reviewed error log,Resolved by removing the bonus plan from the system.,
TK0860,4/2/2021,SP_HR,Error when trying to generate a bonus plan report,Error when trying to generate a bonus plan report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0861,4/2/2021,SP_HR,Issue when trying to search for a bonus plan,Issue when trying to search for a bonus plan,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0862,4/2/2021,SP_HR,Error when trying to add a new insurance plan,Error when trying to add a new insurance plan,Reviewed error log,Resolved by creating a new insurance plan in the system.,
TK0863,4/2/2021,SP_HR,Error when trying to edit insurance plan details,Error when trying to edit insurance plan details,Reviewed error log,Resolved by making changes to the insurance plan's information in the system.,
TK0864,4/2/2021,SP_HR,Issue when trying to view insurance plan details,Issue when trying to view insurance plan details,Reviewed error log,Resolved by refreshing the page and re-entering the insurance plan details.,
TK0865,4/2/2021,SP_HR,Error when trying to delete an insurance plan,Error when trying to delete an insurance plan,Reviewed error log,Resolved by removing the insurance plan from the system.,
TK0866,4/2/2021,SP_HR,Error when trying to generate an insurance plan report,Error when trying to generate an insurance plan report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0867,4/2/2021,SP_HR,Issue when trying to search for an insurance plan,Issue when trying to search for an insurance plan,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0868,4/2/2021,SP_HR,Error when trying to add a new pension plan,Error when trying to add a new pension plan,Reviewed error log,Resolved by creating a new pension plan in the system.,
TK0869,4/2/2021,SP_HR,Error when trying to edit pension plan details,Error when trying to edit pension plan details,Reviewed error log,Resolved by making changes to the pension plan's information in the system.,
TK0870,4/2/2021,SP_HR,Issue when trying to view pension plan details,Issue when trying to view pension plan details,Reviewed error log,Resolved by refreshing the page and re-entering the pension plan details.,
TK0871,4/2/2021,SP_HR,Error when trying to delete a pension plan,Error when trying to delete a pension plan,Reviewed error log,Resolved by removing the pension plan from the system.,
TK0872,4/2/2021,SP_HR,Error when trying to generate a pension plan report,Error when trying to generate a pension plan report,Reviewed error log,Resolved by making changes to the report settings in the system.,
TK0873,4/2/2021,SP_HR,Issue when trying to search for a pension plan,Issue when trying to search for a pension plan,Reviewed error log,Resolved by narrowing down the search criteria.,
TK0874,20/08/20,SP_HRM,Error while assigning cost center to the employee,Error while assigning cost center to the employee,Checked the cost center assignment in employee master data,Resolved by assigning correct cost center to the employee,
TK0875,20/08/20,SP_HRM,Error while assigning job to the employee,Error while assigning job to the employee,Checked the job details in employee master data,Resolved by assigning correct job to the employee,
TK0876,20/08/20,SP_HRM,Error while assigning position to the employee,Error while assigning position to the employee,Checked the position details in employee master data,Resolved by assigning correct position to the employee,
TK0877,21/08/20,SP_HRM,Error while assigning wage type to the employee,Error while assigning wage type to the employee,Checked the wage type details in employee master data,Resolved by assigning correct wage type to the employee,
TK0878,21/08/20,SP_HRM,Error while assigning personnel area to the employee,Error while assigning personnel area to the employee,Checked the personnel area details in employee master data,Resolved by assigning correct personnel area to the employee,
TK0879,21/08/20,SP_HRM,Error while assigning personnel area to the employee,Error while assigning personnel area to the employee,Verfied about personnel area details in employee master data,Assigned the proper personnel area to the employee and solved the issue,
TK0880,21/08/20,SP_HRM,Error while assigning personnel area to the employee,Error while assigning personnel area to the employee,Verified personnel area details on employee master data,Solved it by marking correct personnel area to the employee,
TK0881,21/08/20,SP_HRM,Error while assigning personnel sub area to the employee,Error while assigning personnel sub area to the employee,Checked the personnel sub area details in employee master data,Resolved by assigning correct personnel sub area to the employee,
TK0882,22/08/20,SP_HRM,Error while assigning job classification to the employee,Error while assigning job classification to the employee,Checked the job classification details in employee master data,Resolved by assigning correct job classification to the employee,
TK0883,22/08/20,SP_HRM,Error while assigning work schedule to the employee,Error while assigning work schedule to the employee,Checked the work schedule details in employee master data,Resolved by assigning correct work schedule to the employee,
TK0884,22/08/20,SP_HRM,Error while assigning personnel number to the employee,Error while assigning personnel number to the employee,Checked the personnel number details in employee master data,Resolved by assigning correct personnel number to the employee,
TK0885,23/08/20,SP_HRM,Error while assigning company code to the employee,Error while assigning company code to the employee,Checked the company code details in employee master data,Resolved by assigning correct company code to the employee,
TK0886,23/08/20,SP_HRM,Error while assigning salary range to the employee,Error while assigning salary range to the employee,Checked the salary range details in employee master data,Resolved by assigning correct salary range to the employee,
TK0887,23/08/20,SP_HRM,Error while assigning pay group to the employee,Error while assigning pay group to the employee,Checked the pay group details in employee master data,Resolved by assigning correct pay group to the employee,ERRHRM0665
TK0888,24/08/20,SP_HRM,Error while assigning bank details to the employee,Error while assigning bank details to the employee,Checked the bank details in employee master data,Resolved by assigning correct bank details to the employee,
TK0889,24/08/20,SP_HRM,Error while assigning account number to the employee,Error while assigning account number to the employee,Checked the account number details in employee master data,Resolved by assigning correct account number to the employee,
TK0890,24/08/20,SP_HRM,Error while assigning cost assignment to the employee,Error while assigning cost assignment to the employee,Checked the cost assignment details in employee master data,Resolved by assigning correct cost assignment to the employee,
TK0891,25/08/20,SP_HRM,Error while assigning infotype to the employee,Error while assigning infotype to the employee,Checked the infotype details in employee master data,Resolved by assigning correct infotype to the employee,
TK0892,25/08/20,SP_HRM,Error while assigning shift to the employee,Error while assigning shift to the employee,Checked the shift details in employee master data,Resolved by assigning correct shift to the employee,
TK0893,25/08/20,SP_HRM,Error while assigning time type to the employee,Error while assigning time type to the employee,Checked the time type details in employee master data,Resolved by assigning correct time type to the employee,
TK0894,26/08/20,SP_HRM,Error while assigning leave type to the employee,Error while assigning leave type to the employee,Checked the leave type details in employee master data,Resolved by assigning correct leave type to the employee,
TK0895,26/08/20,SP_HRM,Error while assigning wage type group to the employee,Error while assigning wage type group to the employee,Checked the wage type group details in employee master data,Resolved by assigning correct wage type group to the employee,
TK0896,26/08/20,SP_HRM,Error while assigning pay scale group to the employee,Error while assigning pay scale group to the employee,Checked the pay scale group details in employee master data,Resolved by assigning correct pay scale group to the employee,
TK0897,27/08/20,SP_HRM,Error while assigning pay scale area to the employee,Error while assigning pay scale area to the employee,Checked the pay scale area details in employee master data,Resolved by assigning correct pay scale area to the employee,
TK0898,27/08/20,SP_HRM,Error while assigning pay scale level to the employee,Error while assigning pay scale level to the employee,Checked the pay scale level details in employee master data,Resolved by assigning correct pay scale level to the employee,
TK0899,27/08/20,SP_HRM,Error while assigning pay scale type to the employee,Error while assigning pay scale type to the employee,Checked the pay scale type details in employee master data,Resolved by assigning correct pay scale type to the employee,
TK0900,28/08/20,SP_HRM,Error while assigning personnel subarea group to the employee,Error while assigning personnel subarea group to the employee,Checked the personnel subarea group details in employee master data,Resolved by assigning correct personnel subarea group to the employee,
TK0901,28/08/20,SP_HRM,Error while assigning personnel calculation rule to the employee,Error while assigning personnel calculation rule to the employee,Checked the personnel calculation rule details in employee master data,Resolved by assigning correct personnel calculation rule to the employee,
TK0902,28/08/20,SP_HRM,Error while assigning payroll area to the employee,Error while assigning payroll area to the employee,Checked the payroll area details in employee master data,Resolved by assigning correct payroll area to the employee,
TK0903,29/08/20,SP_HRM,Error while assigning personnel area group to the employee,Error while assigning personnel area group to the employee,Checked the personnel area group details in employee master data,Resolved by assigning correct personnel area group to the employee,
TK0904,29/08/20,SP_HRM,Error while assigning personnel subarea group assignment to the employee,Error while assigning personnel subarea group assignment to the employee,Checked the personnel subarea group assignment details in employee master data,Resolved by assigning correct personnel subarea group assignment to the employee,
TK0905,29/08/20,SP_HRM,Error while assigning pay component to the employee,Error while assigning pay component to the employee,Checked the pay component details in employee master data,Resolved by assigning correct pay component to the employee,
TK0906,30/08/20,SP_HRM,Error while assigning bank country to the employee,Error while assigning bank country to the employee,Checked the bank country details in employee master data,Resolved by assigning correct bank country to the employee,
TK0907,30/08/20,SP_HRM,Error while assigning bank key to the employee,Error while assigning bank key to the employee,Checked the bank key details in employee master data,Resolved by assigning correct bank key to the employee,
TK0908,30/08/20,SP_HRM,Error while assigning bank account to the employee,Error while assigning bank account to the employee,Checked the bank account details in employee master data,Resolved by assigning correct bank account to the employee,
TK0909,31/08/20,SP_HRM,Error while assigning bank country key to the employee,Error while assigning bank country key to the employee,Checked the bank country key details in employee master data,Resolved by assigning correct bank country key to the employee,
TK0910,31/08/20,SP_HRM,Error while assigning direct deposit indicator to the employee,Error while assigning direct deposit indicator to the employee,Checked the direct deposit indicator details in employee master data,Resolved by assigning correct direct deposit indicator to the employee,
TK0911,31/08/20,SP_HRM,Error while assigning bank transfer type to the employee,Error while assigning bank transfer type to the employee,Checked the bank transfer type details in employee master data,Resolved by assigning correct bank transfer type to the employee,
TK0912,1/9/2020,SP_HRM,Error while assigning employee group to the employee,Error while assigning employee group to the employee,Checked the employee group details in employee master data,Resolved by assigning correct employee group to the employee,
TK0913,1/9/2020,SP_HRM,Error while assigning employee subgroup to the employee,Error while assigning employee subgroup to the employee,Checked the employee subgroup details in employee master data,Resolved by assigning correct employee subgroup to the employee,
TK0914,1/9/2020,SP_HRM,Error while assigning enterprise structure to the employee,Error while assigning enterprise structure to the employee,Checked the enterprise structure details in employee master data,Resolved by assigning correct enterprise structure to the employee,
TK0915,2/9/2020,SP_HRM,Error while assigning work schedule rule to the employee,Error while assigning work schedule rule to the employee,Checked the work schedule rule details in employee master data,Resolved by assigning correct work schedule rule to the employee,
TK0916,2/9/2020,SP_HRM,Error while assigning number range to the employee,Error while assigning number range to the employee,Checked the number range details in employee master data,Resolved by assigning correct number range to the employee,
TK0917,2/9/2020,SP_HRM,Error while assigning feature to the employee,Error while assigning feature to the employee,Checked the feature details in employee master data,Resolved by assigning correct feature to the employee,
TK0918,3/9/2020,SP_HRM,Error while assigning personnel action to the employee,Error while assigning personnel action to the employee,Checked the personnel action details in employee master data,Resolved by assigning correct personnel action to the employee,
TK0919,3/9/2020,SP_HRM,Error while assigning personnel area group assignment to the employee,Error while assigning personnel area group assignment to the employee,Checked the personnel area group assignment details in employee master data,Resolved by assigning correct personnel area group assignment to the employee,
TK0920,3/9/2020,SP_HRM,Error while assigning pay scale type group to the employee,Error while assigning pay scale type group to the employee,Checked the pay scale type group details in employee master data,Resolved by assigning correct pay scale type group to the employee,
TK0921,4/9/2020,SP_HRM,Error while assigning pay scale level group to the employee,Error while assigning pay scale level group to the employee,Checked the pay scale level group details in employee master data,Resolved by assigning correct pay scale level group to the employee,
TK0922,4/9/2020,SP_HRM,Error while assigning pay scale group group to the employee,Error while assigning pay scale group group to the employee,Checked the pay scale group group details in employee master data,Resolved by assigning correct pay scale group group to the employee,
TK0923,4/9/2020,SP_HRM,Error while assigning personnel subarea group group to the employee,Error while assigning personnel subarea group group to the employee,Checked the personnel subarea group group details in employee master data,Resolved by assigning correct personnel subarea group group to the employee,ERRHRM0666
TK0924,5/9/2020,SP_HRM,Error while assigning pay scale area group to the employee,Error while assigning pay scale area group to the employee,Checked the pay scale area group details in employee master data,Resolved by assigning correct pay scale area group to the employee,
TK0925,5/9/2020,SP_HRM,Error while assigning personnel action type to the employee,Error while assigning personnel action type to the employee,Checked the personnel action type details in employee master data,Resolved by assigning correct personnel action type to the employee,
TK0926,5/9/2020,SP_HRM,Error while assigning personnel action reason to the employee,Error while assigning personnel action reason to the employee,Checked the personnel action reason details in employee master data,Resolved by assigning correct personnel action reason to the employee,
TK0927,6/9/2020,SP_HRM,Error while assigning personnel action code to the employee,Error while assigning personnel action code to the employee,Checked the personnel action code details in employee master data,Resolved by assigning correct personnel action code to the employee,
TK0928,6/9/2020,SP_HRM,Error while assigning employee subgroup group to the employee,Error while assigning employee subgroup group to the employee,Checked the employee subgroup group details in employee master data,Resolved by assigning correct employee subgroup group to the employee,
